,nombre_artista,bio,listeners,playcount,similar
0,Marisol,"Marisol (o Pepa Flores, su nombre real) es una gran artista del cine y la música española y aunque esté retirada desde hace muchos años eso no hace más que aumentar su popularidad, entre sus seguidores y entre los que la recuerdan en las películas de su infancia.

Inició su carrera en 1960, a los 12 años, en la película ""Un rayo de luz"", con un enorme éxito, no sólo en España sino a nivel internacional incluso en Japón. De ahí en adelante filmó alrededor de 15 películas <a href=""https://www.last.fm/music/Marisol"">Read more on Last.fm</a>",46644,293612,"['Massiel', 'Los Secretos', 'Mocedades', 'Nino Bravo', 'Los Bravos']"
1,Da Igual,"Wences Sánchez empieza a despuntar desde bien pequeño como cantante y compositor. Su aire juvenil y desenfadado, junto a un estilo muy peculiar, le dan a sus canciones un toque muy personal que lo diferencian del resto. Su proyecto musical va gestándose poco a poco hasta que, en 2005, nace DA=. 

Tras mucho trabajo y largas horas de ensayo, DA= sale al mercado de forma independiente y autoproduce su primer disco, INJUSTIFICABLE. Sin apenas promoción <a href=""https://www.last.fm/music/da+igual"">Read more on Last.fm</a>",723,8850,"['Barrio Sur', 'nada que decir', 'Doctor Pitangú', 'EXCESO', 'Lagarto Amarillo']"
2,Los Rebeldes,"Los Rebeldes is a Spanish Rock and Roll / Rockabilly band from Barcelona formed in 1979 by Carlos Segarra (vocals & guitar), Aurelio Morata (bass) & Moises Sorolla (drums). They recorded his first album in 1981, tittled ""Cerveza, chicas y... Rockabilly"" (Beers, girls and... Rockabilly). <a href=""https://www.last.fm/music/Los+Rebeldes"">Read more on Last.fm</a>",23226,160468,"['Gatos Locos', 'Loquillo y Trogloditas', 'Loquillo Y Los Intocables', 'Los Coyotes', 'Rey Lui']"
3,Eladio y Los Seres Queridos," <a href=""https://www.last.fm/music/Eladio+y+Los+Seres+Queridos"">Read more on Last.fm</a>",4241,59382,"['elodio y los seres queridos', 'Grises', 'Lovely Luna', 'Egon Soda', 'Ruidoblanco']"
4,Los Directivos," <a href=""https://www.last.fm/music/Los+Directivos"">Read more on Last.fm</a>",881,31467,"['Anntona', 'Los lagos de Hinault', 'Espanto', 'La estrella de David', 'Klaus & Kinski']"
5,Duo Dinamico," <a href=""https://www.last.fm/music/+noredirect/Duo+Dinamico"">Read more on Last.fm</a>",15196,79109,[]
6,Kañasur," <a href=""https://www.last.fm/music/Ka%C3%B1asur"">Read more on Last.fm</a>",173,1642,"['Cherezade', 'El Suso', 'El biri', 'María Artés Lamorena', 'Fran Ocaña']"
7,Neleonard,"En Elefant Records creemos profundamente en NELEONARD. Creemos en las letras de Nele, en su idea fija de hacer canciones POP: grandes, llenas de detalles, con la ambición de conseguir que se te enganchen a la primera escucha y sin ningún pudor en tratar sobre el AMOR y el desencanto de las relaciones, sean del tipo que sean. Y por ello mismo, el debut discográfico de NELEONARD va a ser el primer 10” que engrose el catálogo de nuestra colección de nuevos artistas New Adventures In Pop. <a href=""https://www.last.fm/music/Neleonard"">Read more on Last.fm</a>",1916,27514,"['Sagrado Corazón de Jesús', 'Hazte Lapón', 'Rusos Blancos', 'Doble Pletina', 'El Palacio De Linares']"
8,Son Del Barrio," <a href=""https://www.last.fm/music/Son+del+Barrio"">Read more on Last.fm</a>",416,1436,"['Kalita del Sur', 'Demarco Flamenco', 'Pedro El Flamenkito', 'Indara', 'María Artés']"
9,Maria Carrasco," <a href=""https://www.last.fm/music/Maria+Carrasco"">Read more on Last.fm</a>",2917,20118,"['Belén Moreno', 'Lya', 'Natalia Y Maka', 'Joana Jiménez', 'SinLache']"
10,Ketito," <a href=""https://www.last.fm/music/Ketito"">Read more on Last.fm</a>",321,1946,"['aldeskuido', 'Natalia Y Maka', 'El Tren De Los Sueños', 'Los Rebujitos', 'El biri']"
11,Roberto Casalino," <a href=""https://www.last.fm/music/Roberto+Casalino"">Read more on Last.fm</a>",388,8033,"['Syria', 'Romina Falconi', 'Giovanni Caccamo', 'Federica Abbate', 'Chiara Galiazzo']"
12,Luisa Lacerda," <a href=""https://www.last.fm/music/Luisa+Lacerda"">Read more on Last.fm</a>",743,6134,"['Vanessa Moreno', 'Paulo Bellinati', 'Pietá', 'Goma-Laca', 'Tavinho Moura']"
13,Nechivile," <a href=""https://www.last.fm/music/Nechivile"">Read more on Last.fm</a>",6082,68499,"['Hugo Pena e Gabriel', 'Zé Henrique & Gabriel', 'Hugo Pena & Gabriel', 'marcos e fernando', 'Janaynna']"
14,Xabi Bandini," <a href=""https://www.last.fm/music/Xabi+Bandini"">Read more on Last.fm</a>",450,4150,"['NØGEN', 'Olatz Salvador', 'skakeitan', 'Ibil Bedi', 'Izaki Gardenak']"
15,Ataque Escampe,"Ataque Escampe é grupo de rock acústico formado no ambiente universitario da cidade de Santiago de Compostela por rapaces de diferentes zonas do país contra o remate do ano 2001. Nese momento os seus seis membros, Samuel, Pablo, Álex, Dani, Miguel e Roi, comezan a ensaiar de xeito irregular na residencia universitaria do Monte da Condesa, ademais de gravar con pésimos medios (por exemplo, cassette) temas de corte folk-rock (o laúde e o violín <a href=""https://www.last.fm/music/Ataque+Escampe"">Read more on Last.fm</a>",3615,103287,"['The Homens', 'Terbutalina', 'Fanny + Alexander', 'Galegoz', 'Familia Caamagno']"
16,Os Amigos dos Músicos," <a href=""https://www.last.fm/music/Os+Amigos+dos+M%C3%BAsicos"">Read more on Last.fm</a>",461,6736,"['Esposa', 'Caxade', 'Ataque Escampe', 'Oh! Ayatollah', 'Guadi Galego']"
17,Planet Funk,"Planet Funk is an Italian electronic dance musical ensemble.

Members are Sergio Della Monica, Alex Neri, Domenico GG Canu, Marco Baroni, Alex Uhlmann and Alessandro Sommella (the Ghost extra member), in addition to a series of guest singers in collaboration, like Dan Black, Sally Doherty, Raiz and John Graham. Alex Uhlmann joined as the band's latest lead singer in November 2010.

Their first single, ""Chase the Sun"", reached number five on the UK Singles Chart in 2001. <a href=""https://www.last.fm/music/Planet+Funk"">Read more on Last.fm</a>",371405,4449226,"['Kraak & Smaak', 'Spiller', 'Bent', 'DB Boulevard', 'Groove Armada']"
18,Young Forest," <a href=""https://www.last.fm/music/Young+Forest"">Read more on Last.fm</a>",146,1321,"['Xosé Lois Romero & Aliboria', 'The New Raemon, David Cordero & Marc Clos', 'Ángel Stanich', 'Sés', 'Club del Río']"
19,Igor Paskual," <a href=""https://www.last.fm/music/Igor+Paskual"">Read more on Last.fm</a>",911,13426,"['Alfredo González', 'José Ignacio Lapido', 'Jaime Urrutia', 'Stormy Mondays', 'Ramoncín']"
20,Ruiperez," <a href=""https://www.last.fm/music/Ruiperez"">Read more on Last.fm</a>",266,1267,"['Red Gekko', 'Miss Penas', 'Santiago Campillo', 'Min Go', 'UnderWallace']"
21,Los eternos," <a href=""https://www.last.fm/music/Los+Eternos"">Read more on Last.fm</a>",172,736,"['Sheila Patricia', 'Eris Mackenzie', 'Catuxa Salom', 'Caamaño & Ameixeiras', 'Rotce']"
22,Sutan," <a href=""https://www.last.fm/music/sutan"">Read more on Last.fm</a>",182,719,"['NØGEN', 'skakeitan', 'Garilak 26', 'Xabi Bandini', 'En Tol Sarmiento']"
23,Onki Xin," <a href=""https://www.last.fm/music/Onki+Xin"">Read more on Last.fm</a>",49,878,"['Eskean Kristö', 'LiHer', 'Aneguria', 'EraBatera', 'Huntza']"
24,Ruxe Ruxe," <a href=""https://www.last.fm/music/+noredirect/Ruxe+Ruxe"">Read more on Last.fm</a>",713,6134,[]
25,Kitai," <a href=""https://www.last.fm/music/Kitai"">Read more on Last.fm</a>",5775,56198,"['ELYELLA', 'Carmen 113', 'Comandante Twin', 'alison DARWIN', 'Melifluo']"
26,Alejandro Conde," <a href=""https://www.last.fm/music/Alejandro+Conde"">Read more on Last.fm</a>",525,4375,"['Julio Madrid', 'Alejandro Conde (F)', 'Los Cabales', 'Alborada Flamenca', 'Paquiro']"
27,Supercobra," <a href=""https://www.last.fm/music/Supercobra"">Read more on Last.fm</a>",190,2563,"['Sushi Bar', 'Novo Pilota', 'monkiki', 'Jukebox Wars', 'Examiner']"
28,Johnny Preston,"Johnny Preston (born John Preston Courville on August 18, 1939, Port Arthur, Texas, USA - died March 4, 2011, Beaumont, Texas) was an American singer. He's best known for his international number one hit in 1960, ""Running Bear"".

Of Cajun ancestry, Preston sang in high school choral contests throughout the state of Texas. He formed a rock and roll band called 'The Shades', before recording his No. 1 hit single ""Running Bear."" The song was written in 1958 by J. <a href=""https://www.last.fm/music/Johnny+Preston"">Read more on Last.fm</a>",48899,201197,"['Jimmy Jones', 'Johnny & The Hurricanes', 'Freddy Cannon', 'Bobby Rydell', 'Lloyd Price']"
29,Jardim Soma," <a href=""https://www.last.fm/music/Jardim+Soma"">Read more on Last.fm</a>",2059,13226,"['astralplane', 'Versalle', 'Cascadura', 'O Estrangeiro', 'Bemvirá']"
30,Los Ghoul Espantos," <a href=""https://www.last.fm/music/Los+Ghoul+Espantos"">Read more on Last.fm</a>",233,1282,"['Los Carniceros del Norte', 'Under My Nails', 'Circo del Luto', 'MekRokieV', 'Frankie Ha Muerto']"
31,Smile And Burn,"Smile And Burn are a Pop-Punk band from Berlin, Germany. <a href=""https://www.last.fm/music/Smile+and+Burn"">Read more on Last.fm</a>",17135,302488,"['Kind Kaputt', 'Lygo', 'Hi! Spencer', 'Abramowicz', 'Idle Class']"
